,Matrix Size,Strassen Time,Naive Time,Strassen Multiplications,Naive Multiplications,Strassen Error,Naive Error
0,4,0.5922602990176529,0.8321726299473085,49.0,64.0,1.0235750533041806e-15,4.2998752849492583e-16
1,8,4.886818522994872,6.596320530981757,343.0,512.0,1.1724291566434251e-14,1.961044852356119e-15
2,16,6.526533675962128,9.588516738964245,2401.0,4096.0,6.060231474019431e-14,8.859551911326592e-15
3,32,17.981482908013277,33.246070552035235,16807.0,32768.0,4.703204556357325e-13,4.6686429303660135e-14
4,64,99.51896393497009,195.49732123402646,117649.0,262144.0,3.2897812142702893e-12,2.333527170735237e-13
5,128,588.3200011849985,1490.8882178789936,823543.0,2097152.0,2.2580098738579384e-11,1.2693781840402005e-12
6,256,4047.6327656699577,12010.78275471105,5764801.0,16777216.0,1.341154674576464e-10,6.7931304382111245e-12
7,512,32701.971603532962,107643.343722691,40353607.0,134217728.0,1.0527275519963427e-09,2.0146301256843044e-11
